,Milk - Excluding Butter,Oilcrops,Eggs,Starchy Roots,Meat,Vegetables,Fruits - Excluding Wine,"Aquatic Products, Other",Treenuts,Spices,Pulses,Alcoholic Beverages,Cereals - Excluding Beer,Animal fats,Vegetable Oils,Offals,Sugar & Sweeteners,"Fish, Seafood",Stimulants,Smoking,Obesity,total_cases_per_million,total_deaths_per_million,Life Expectancy,Human Development Index,Population Density,Median Age,GDP per Capita,Cardiovascular Death Rate,Diabetes Prevalence,Health Expenditure (% of GDP),Stimulants above avg,Fruits - Excluding Wine above avg,Alcoholic Beverages above avg,cluster_food,cluster_health,cluster_total,Country,id
0,0.3444293674394434,0.2763433356594558,0.878048780487805,0.3283417085427136,0.6893180734382451,0.17367713931376594,0.4366229062924401,0.09523809523809523,0.3338722716248989,0.09216589861751152,0.08449197860962565,0.6840788238974038,0.4393794495802783,0.6618460229689493,0.4924382146809295,0.29559748427672955,0.14530175706646292,0.1597877358490566,0.2551492223623371,0.4390243902439026,0.061855670103092564,0.3560357768230481,0.4007690253123903,0.7626321974148063,0.7625899280575545,0.06171247182082886,0.6698113207547172,0.354929675572199,0.17459572155876066,0.4672754946727549,0.9073251037400738,1.0,1.0,1.0,4,0,0,Austria,AUT
1,0.3610589831682882,0.0642009769713887,0.7106430155210643,0.6579899497487437,0.1778731521220791,0.3973232740801984,0.42224988682661824,0.09523809523809523,0.19240097008892484,0.08179723502304148,0.23957219251336895,0.5147012824522991,0.6496652853044311,0.7235219055720971,0.3578015492438215,0.6855345911949686,0.3406417112299465,0.3351022012578617,0.1437578814627995,0.38211382113821135,0.32989690721649495,0.4747300444419105,0.8432559724385206,0.7732079905992943,0.8273381294964041,0.2489224535674813,0.4245283018867925,0.3182378371173519,0.08516129794346601,0.15372907153729082,0.9094822105522206,0.0,1.0,1.0,4,0,0,Belgium,BEL
2,0.16586309437884345,0.2777390090718772,0.20509977827051,0.027939698492462302,0.0,0.14815006200909464,0.12075599818922587,0.7142857142857143,0.07113985448666127,1.0,0.2288770053475936,0.4670003127932436,0.5817660184890021,0.13781369629944706,0.3153817779417189,0.6871069182389937,0.0365164247517189,0.02142295597484277,0.10592686002522067,0.7398373983739839,0.6288659793814433,0.24866377409169824,0.7350088308792238,0.0,0.0,0.032762704392573026,0.6981132075471708,0.0,1.0,0.3850837138508371,0.6379694429441471,0.0,0.0,1.0,0,1,2,Bulgaria,BGR
3,0.3776885988971331,0.4242847173761341,0.1430155210643017,0.12653266331658294,0.40486409155937053,1.0,0.2514712539610684,0.047619047619047616,0.1026677445432498,0.04147465437788018,0.0748663101604278,0.4553487644666875,0.4595685899479334,0.18290089323692044,0.2213205459240133,0.5927672955974843,0.2546218487394958,0.2511792452830188,0.14417822614543924,0.7398373983739839,0.5979381443298969,0.4027677862645795,0.5855005773050366,0.4042303172737949,0.2517985611510793,0.03871436819112181,0.6320754716981138,0.05423639369803401,0.4952986758330677,0.3515981735159817,0.5759033329586322,0.0,0.0,0.0,0,1,2,Croatia,HRV
4,0.005774172128071131,0.31821353803210056,0.12195121951219524,0.0,0.3459704339532663,0.20463001240181888,0.4258714350384789,0.09523809523809523,0.1746160064672595,0.034562211981566816,0.30267379679144385,0.029949953081013395,0.2377005631707576,0.0,0.5381777941718924,0.32861635220125784,0.2153552330022918,0.37303459119496857,0.07103825136612023,0.7154471544715446,0.13402061855670097,0.2833680390321425,0.06106335066258396,0.6968272620446534,0.5107913669064752,0.07627336425004233,0.0,0.18294773252492275,0.16274791216319973,0.9071537290715372,0.5722268078795947,0.0,1.0,0.0,0,2,1,Cyprus,CYP
5,0.2298120506972313,0.04256803907885555,0.20620842572062106,0.3501507537688443,0.5834525512637101,0.08851798263745347,0.13331824354911725,0.047619047619047616,0.044462409054163286,0.04953917050691245,0.2053475935828877,1.0,0.2612899798108597,0.6452573373032752,0.5669494651420139,0.35377358490566035,0.27960275019098546,0.06584119496855348,0.031525851197982346,0.6300813008130082,0.7422680412371134,1.0,1.0,0.5088131609870743,0.6043165467625906,0.0829026513666332,0.5660377358490569,0.18546737673965324,0.4176411873796615,0.5388127853881279,0.6175629580190852,0.0,0.0,1.0,4,1,2,Czech Republic,CZE
6,0.5650027427317608,0.08653175157013257,1.0,0.35798994974874365,0.2982832618025748,0.2030281107895825,0.1423721140787687,0.09523809523809523,0.1544058205335489,0.15783410138248846,0.06951871657754011,0.396309039724742,0.5841037084263099,1.0,0.0,1.0,0.19618029029793735,0.3290094339622641,0.2627154266498529,0.012195121951219523,0.0,0.21145212640827887,0.12541852867157385,0.6874265569917757,0.8920863309352525,0.08244579535775796,0.4716981132075473,0.3713839399499104,0.08477444275133772,0.4764079147640792,0.8757870153232288,1.0,0.0,0.0,1,0,0,Denmark,DNK
7,0.7105118803591535,0.0020935101186322497,0.6563192904656321,0.4288442211055277,0.1268478779208393,0.21057255064076064,0.28463105477591666,0.047619047619047616,0.12530315278900567,0.12327188940092165,0.31871657754010696,0.6614795120425399,0.6030177451917966,0.38409187579753296,0.199557358908152,0.460691823899371,0.15072574484339185,0.1721698113207547,0.11769651113913407,0.5081300813008132,0.25773195876288657,0.4702261088651624,0.20636056370329176,0.433607520564042,0.5467625899280586,0.008981816991561397,0.5094339622641515,0.14419856456328445,0.5005758531485879,0.11263318112633175,0.5587605237246032,0.0,0.0,1.0,4,1,2,Estonia,EST
8,1.0,0.06280530355896723,0.21840354767184045,0.3671356783919598,0.4382451120648545,0.1166804464654816,0.2572430964237211,0.0,0.05901374292643492,0.02880184331797235,0.11871657754010695,0.4340006255864872,0.4226968441185848,0.4687367077839218,0.1350055330136481,0.3663522012578617,0.08242933537051184,0.5436320754716981,0.4367381252627155,0.06504065040650397,0.3711340206185567,0.0,0.0,0.8061104582843708,0.8776978417266186,0.0,0.5188679245283021,0.2908606415418267,0.19917726827078688,0.3774733637747337,0.7932092787146651,1.0,0.0,0.0,1,0,0,Finland,FIN
9,0.429540664607212,0.1221214235868807,0.5277161862527717,0.2676381909547739,0.5896518836433,0.1811699049193881,0.5069035762788592,0.09523809523809523,0.29668552950687144,0.021889400921658992,0.1935828877005348,0.27533625273694085,0.6121559876739986,0.6184602296894938,0.5389155293249723,0.880503144654088,0.1502673796791444,0.5583726415094339,0.16561580496006725,0.5650406504065042,0.1958762886597936,0.4086558426104033,0.5635774360198256,0.8942420681551121,0.6115107913669071,0.07273621231547299,0.4433962264150946,0.2647091663545519,0.0,0.2267884322678843,1.0,0.0,1.0,0.0,1,0,0,France,FRA
